filename,region,region_size,fill,offset,size,load_type,crc32,sha1,sha256,description
mpr-17571.36,samples,0x00800000,0x00,0x00400000,0x00200000,load16_word_swap,51caa584,cbbde1c55eddbeeefd283bb5afd79a670a282e3a,d8753c3054389cef883dcff96dbb003159536bed8c5c5e82617a2d51769af490,SCSP samples bank 2
mpr-17570.37,samples,0x00800000,0x00,0x00600000,0x00200000,load16_word_swap,bccd324b,4c7ebdea08b2dedf621f121785ed1c40ebae4236,0d38cc9e054f335167c6b03a741cda5c8bbd91e563112fad94a5f054c7787e08,SCSP samples bank 3
opr-14742a.45,copro_tgp_tables,0x00040000,0x00,0x00000000,0x00020000,load32_word,90c6b117,f46429fffcee17d056f56d5fe035a33f1fd6c27e,29a145d34e301fb9b568b3a82f60135cb5195544b6bcafc379ab9d8bdd259c84,TGP trigonometric/atan table low
opr-14743a.46,copro_tgp_tables,0x00040000,0x00,0x00000002,0x00020000,load32_word,ae7f446b,5b9f1fc47caf21e061e930c0d72804e4ec8c7bca,2fc594c0b05dd5f289ac07c28af5325db5878e5c155bc41f7daab8f4acd1fc44,TGP trigonometric/atan table high
opr-14744.58,other_data,0x00080000,0x00,0x00000000,0x00020000,load32_word,730ea9e0,651f1db4089a400d073b19ada299b4b08b08f372,a59d05e17f98a5bd2b2eecf5126555fad0128b90adf4a880513d6b8b8745302c,1/x lookup table low
opr-14745.59,other_data,0x00080000,0x00,0x00000002,0x00020000,load32_word,4c934d96,e3349ece0e47f684d61ad11bfea4a90602287350,34be268b2e6cfd75d36869e5561745ba574626c691e4bc11f03c4ebd604341ba,1/x lookup table high
opr-14746.62,other_data,0x00080000,0x00,0x00040000,0x00020000,load32_word,2a266cbd,34e047a93459406c22acf4c25089d1a4955f94ca,f25ed5d145e6197909899a06d024570a20a61d7005dc40f1bd3fb414e1187ed8,1/sqrt(x) lookup table low
opr-14747.63,other_data,0x00080000,0x00,0x00040002,0x00020000,load32_word,a4ad5e19,7d7ec300eeb9a8de1590011e37108688c092f329,db7f76d2406c04a5708d775007b120a76a4c9e93c4655c8e54d9aad0a966ded4,1/sqrt(x) lookup table high
mpr-16310.15,video_unk,0x00200000,0x00,0x00000000,0x00080000,load32_byte,c078a780,0ad5b49774172743e2708b7ca4c061acfe10957a,ab83fad6dd1fbe72f52a974a72bbbe24ce7a31616f6745d253c7353dfbac3eae,Model 2A video-board lookup byte lane 0
mpr-16311.16,video_unk,0x00200000,0x00,0x00000001,0x00080000,load32_byte,452a492b,88c2f6c2dbfd0c1b39a7bf15c74455fb68c7274e,aadfa1ad3482a12b133ae87e6e7e80d3c6ba528c3285ee9e423d7a8f0301b2b4,Model 2A video-board lookup byte lane 1
mpr-16312.14,video_unk,0x00200000,0x00,0x00000002,0x00080000,load32_byte,a25fef5b,c6a37856b97f5bc4996cb6b66209f47af392cc38,fe05291485f6a838995cf942c600db97d02d4ee0c108a2fb80ce0d95b0ff7a08,Model 2A video-board lookup byte lane 2
